line_cd,line_sort,rr_name,line_type,enabled,last_date,line_name,line_nickname
11805,11805,2,1,,JR四国,鳴門線,
11806,11806,2,1,,JR四国,予讃線(高松〜松山),
11807,11807,2,1,,JR四国,予讃線(松山〜宇和島・海線),
11808,11808,2,1,,JR四国,予土線,しまんとグリーンライン
11886,11807,2,1,,JR四国,予讃線(向井原〜内子),
11887,11807,2,1,,JR四国,内子線,
11888,11807,2,1,,JR四国,予讃線(新谷〜伊予大洲),
11901,11901,2,1,,JR西日本,博多南線,
11902,11902,2,1,,JR九州,鹿児島本線(門司港〜博多),
11903,11903,2,1,,JR九州,鹿児島本線(博多〜八代),
11904,11904,2,1,,JR九州,鹿児島本線(川内〜鹿児島),
11905,11905,2,1,,JR九州,長崎本線(鳥栖〜長崎),
11975,11905,2,1,,JR九州,長崎本線(旧線),
11906,11906,2,1,,JR九州,日豊本線(門司港〜佐伯),
11907,11907,2,1,,JR九州,日豊本線(佐伯〜鹿児島中央),
11908,11908,2,1,,JR九州,篠栗線,福北ゆたか線
11909,11909,2,1,,JR九州,筑肥線(姪浜〜唐津),
11910,11910,2,1,,JR九州,筑豊本線(若松〜折尾),若松線
11911,11911,2,1,,JR九州,筑豊本線(折尾〜桂川),福北ゆたか線
11912,11912,2,1,,JR九州,筑豊本線(桂川〜原田),原田線
11913,11913,2,1,,JR九州,久大本線,ゆふ高原線
11914,11914,2,1,,JR九州,日田彦山線,
11915,11915,2,1,,JR九州,後藤寺線,
11916,11916,2,1,,JR九州,香椎線(西戸崎〜香椎),海の中道線
11917,11917,2,1,,JR九州,香椎線(香椎〜宇美),
11918,11918,2,1,,JR九州,佐世保線,
11920,11920,2,1,,JR九州,筑肥線(山本〜伊万里),
11921,11921,2,1,,JR九州,唐津線,
11922,11922,2,1,,JR九州,大村線,
11923,11923,2,1,,JR九州,豊肥本線,阿蘇高原線
11924,11924,2,1,,JR九州,三角線,
11925,11925,2,1,,JR九州,肥薩線(八代〜吉松),えびの高原線
11926,11926,2,1,,JR九州,肥薩線(吉松〜隼人),
11927,11927,2,1,,JR九州,宮崎空港線,
11928,11928,2,1,,JR九州,日南線,
11929,11929,2,1,,JR九州,吉都線,えびの高原線
11930,11930,2,1,,JR九州,指宿枕崎線,
21001,21001,2,1,,東武鉄道,東上本線,
21002,21002,2,1,,東武鉄道,伊勢崎線,
21003,21003,2,1,,東武鉄道,日光線,
21004,21004,2,1,,東武鉄道,野田線,
21005,21005,2,1,,東武鉄道,亀戸線,
21006,21006,2,1,,東武鉄道,大師線,
21007,21007,2,1,,東武鉄道,越生線,
21008,21008,2,1,,東武鉄道,宇都宮線,
21009,21009,2,1,,東武鉄道,鬼怒川線,
21010,21010,2,1,,東武鉄道,佐野線,
21011,21011,2,1,,東武鉄道,桐生線,
21012,21012,2,1,,東武鉄道,小泉線,
22001,22001,2,1,,西武鉄道,池袋線,
22002,22002,2,1,,西武鉄道,西武秩父線,
22003,22003,2,1,,西武鉄道,西武有楽町線,
