日本の鉄道路線一覧,2011年7月1日時点のデータ,,,,,,最終更新　2011年10月16日
総合計,27443.0,,,,,27443.0,
会社名,距離(km),種別,線名,区間,,距離(km),備考
,,,博多南線,博多,博多南,8.5,
,,,関西空港線,日根野,りんくうタウン,4.2,
,,,関西空港線(1),りんくうタウン,関西空港,6.9,第２種　第３種は関西国際空港
,,,ＪＲ東西線,京橋,尼崎,12.5,第２種　第３種は関西高速鉄道
,,,おおさか東線,放出,久宝寺,9.2,第２種　第３種は大阪外環状鉄道
四国旅客鉄道,855.2,,,,,,
,,,本四備讃線,児島,宇多津,18.1,
,,,予讃線,高松,宇和島,297.6,
,,,予讃線(1),向井原,内子,23.5,
,,,予讃線(2),伊予大洲,新谷,5.9,
,,,内子線,新谷,内子,5.3,
,,,予土線,若井,北宇和島,76.3,
,,,高徳線,高松,徳島,74.5,
,,,鳴門線,池谷,鳴門,8.5
,,,土讃線,多度津,窪川,198.7
,,,徳島線,佃,佐古,67.5
,,,牟岐線,徳島,海部,79.3
九州旅客鉄道,2273.0,,,,,
,,,山陽線,下関,門司,6.3
,,,鹿児島線,門司港,八代,232.3
,,,鹿児島線(1),川内,鹿児島,49.3
,,,香椎線,西戸崎,宇美,25.4
,,,篠栗線,桂川,吉塚,25.1
,,,三角線,宇土,三角,25.6
,,,肥薩線,八代,隼人,124.2
,,,指宿枕崎線,鹿児島中央,枕崎,87.8
,,,長崎線,鳥栖,長崎,125.3
,,,長崎線(1),喜々津,浦上,23.5
,,,唐津線,久保田,西唐津,42.5
,,,筑肥線,姪浜,唐津,42.6
,,,筑肥線(1),山本,伊万里,25.7
,,,佐世保線,肥前山口,佐世保,48.8
,,,大村線,早岐,諫早,47.6
,,,久大線,久留米,大分,141.5
,,,豊肥線,大分,熊本,148.0
,,,日豊線,小倉,鹿児島,462.6
,,,日田彦山線,城野,夜明,68.7
,,,日南線,南宮崎,志布志,88.9
,,,吉都線,吉松,都城,61.6
,,,筑豊線,若松,原田,66.1
,,,後藤寺線,田川後藤寺,新飯塚,13.3
,,,宮崎空港線,田吉,宮崎空港,1.4
,,,九州新幹線,博多,鹿児島中央,288.9
札幌市交通局,56.5,,,,,
,,案内,南北線,麻生,真駒内,14.3
,,案内,東西線,宮の沢,新さっぽろ,20.1,
,,案内,東豊線,栄町,福住,13.6,
,,軌道,１条線,西４丁目,西１５丁目,1.3,
,,軌道,山鼻線,すすきの,中央図書館前,3.9,
,,軌道,山鼻西線,西１５丁目,中央図書館前,3.3,
函館市交通局,10.9,,,,,,
,,軌道,本線,函館どっく前,函館駅前,2.9,
,,軌道,宝来・谷地頭線,十字街,谷地頭,1.4,
,,軌道,大森線,松風町,函館駅前,0.5,
,,軌道,湯の川線,松風町,湯の川,6.1,
弘南鉄道,30.7,,,,,,
,,,弘南線,弘前,黒石,16.8,
,,,大鰐線,大鰐,中央弘前,13.9,
青い森鉄道,121.9,,,,,,
,,,青い森鉄道線,目時,青森,121.9,第２種　第３種は青森県
津軽鉄道,20.7,,,,,,
,,,津軽鉄道線,津軽五所川原,津軽中里,20.7
十和田観光電鉄,14.7,,,,,
,,,十和田観光電鉄線,十和田市,三沢,14.7
青函トンネル記念館,0.8,,,,,
,,鋼索,青函トンネル竜飛斜坑線,青函トンネル記念館,体験坑道,0.8
アイジーアールいわて銀河鉄道,82.0,,,,,
,,,いわて銀河鉄道線,盛岡,目時,82.0
三陸鉄道,107.6,,,,,
,,,北リアス線,宮古,久慈,71.0
,,,南リアス線,盛,釜石,36.6
仙台市交通局,14.8,,,,,
,,,南北線,富沢,泉中央,14.8
仙台空港鉄道,7.1,,,,,
,,,仙台空港線,名取,仙台空港,7.1
阿武隈急行,54.9,,,,,
,,,阿武隈急行線,福島,槻木,54.9
福島交通,9.2,,,,,
,,,飯坂線,福島,飯坂温泉,9.2
会津鉄道,57.4,,,,,
,,,会津線,西若松,会津高原尾瀬口,57.4
秋田内陸縦貫鉄道,94.2,,,,,
,,,秋田内陸線,鷹巣,角館,94.2
由利高原鉄道,23.0,,,,,
,,,鳥海山ろく線,羽後本荘,矢島,23.0
山形鉄道,30.5,,,,,
,,,フラワー長井線,赤湯,荒砥,30.5
北越急行,59.5,,,,,
,,,ほくほく線,六日町,犀潟,59.5
長野電鉄,57.6,,,,,
,,,長野線,長野,湯田中,33.2
,,,屋代線,屋代,須坂,24.4
しなの鉄道,65.1,,,,,
,,,しなの鉄道線,軽井沢,篠ノ井,65.1
上田電鉄,11.6,,,,,
,,,別所線,上田,別所温泉,11.6
アルピコ交通,14.4,,,,,
,,,上高地線,松本,新島々,14.4
関西電力,6.1,,,,,
,,無軌,（なし）,扇沢,黒部ダム,6.1
関東鉄道,55.6,,,,,
,,,竜ヶ崎線,佐貫,竜ヶ崎,4.5
,,,常総線,取手,下館,51.1
鹿島臨海鉄道,53.0,,,,,
,,,大洗鹿島線,水戸,鹿島サッカースタジアム,53.0
ひたちなか海浜鉄道,14.3,,,,,
,,,湊線,勝田,阿字ヶ浦,14.3
筑波観光鉄道,1.6,,,,,
,,鋼索,筑波山鋼索鉄道線,宮脇,筑波山頂,1.6
真岡鐵道,41.9,,,,,
,,,真岡線,下館,茂木,41.9
野岩鉄道,30.7,,,,,
,,,会津鬼怒川線,新藤原,会津高原尾瀬口,30.7
わたらせ渓谷鐵道,44.1,,,,,
,,,わたらせ渓谷線,桐生,間藤,44.1
上毛電気鉄道,25.4,,,,,
,,,上毛線,中央前橋,西桐生,25.4
上信電鉄,33.7,,,,,
,,,上信線,高崎,下仁田,33.7
秩父鉄道,71.7,,,,,
,,,秩父本線,羽生,三峰口,71.7
埼玉新都市交通,12.7,,,,,
,,案内,伊奈線,大宮,内宿,12.7
新京成電鉄,26.5,,,,,
,,,新京成線,京成津田沼,松戸,26.5
銚子電気鉄道,6.4,,,,,,
,,,銚子電気鉄道線,銚子,外川,6.4,
小湊鉄道,39.1,,,,,,
,,,小湊鉄道線,五井,上総中野,39.1,
いすみ鉄道,26.8,,,,,,
,,,いすみ線,大原,上総中野,26.8,
流鉄,5.7,,,,,,
,,,流山線,馬橋,流山,5.7,
北総鉄道,32.3,,,,,,
,,,北総線,京成高砂,小室,19.8,
,,,北総線(1),小室,印旛日本医大,12.5,第２種　第３種は千葉ニュータウン鉄道
東葉高速鉄道,16.2,,,,,,
,,,東葉高速線,西船橋,東葉勝田台,16.2,
芝山鉄道,2.2,,,,,,
,,,芝山鉄道線,東成田,芝山千代田,2.2,
千葉都市モノレール,15.2,,,,,,
,,懸垂,２号線,千葉,千城台,12.0,軌道法
,,懸垂,１号線,千葉みなと,県庁前,3.2,軌道法
山万,4.1,,,,,,
,,案内,ユーカリが丘線,ユーカリが丘,公園,4.1,
舞浜リゾートライン,5.0,,,,,,
,,跨座,ディズニーリゾートライン,リゾートゲートウェイ・ステーション,リゾートゲートウェイ・ステーション,5.0,
首都圏新都市鉄道,58.3,,,,,,
,,,常磐新線,秋葉原,つくば,58.3,
埼玉高速鉄道,14.6,,,,,,
,,,埼玉高速鉄道線,赤羽岩淵,浦和美園,14.6,
東武鉄道,463.3,,,,,,
,,,伊勢崎線,浅草,伊勢崎,114.5,
,,,亀戸線,曳舟,亀戸,3.4,
,,,大師線,西新井,大師前,1.0,
,,,桐生線,太田,赤城,20.3,
,,,小泉線,館林,西小泉,12.0,
,,,小泉線(1),太田,東小泉,6.4,
,,,佐野線,館林,葛生,22.1,
