99301,都営大江戸線
99302,都営浅草線
99303,都営三田線
99304,都営新宿線
99305,都営都電荒川線
99342,日暮里・舎人ライナー
99306,秩父鉄道
99307,埼玉高速鉄道
99308,いすみ鉄道
99309,つくばエクスプレス
99310,みなとみらい線
99311,ゆりかもめ
99312,わたらせ渓谷鐵道
99313,ユーカリが丘線
99314,伊豆箱根鉄道大雄山線
99315,ひたちなか海浜鉄道湊線
99316,横浜市営地下鉄ブルーライン(改称)
99343,横浜市営地下鉄グリーンライン
99317,横浜新都市交通　シーサイドライン
99318,関東鉄道常総線
99319,関東鉄道竜ヶ崎線
99320,江ノ島電鉄線
99321,埼玉新都市交通伊奈線
99322,鹿島鉄道(廃止)
99323,鹿島臨海鉄道大洗鹿島線
99324,芝山鉄道
99325,小湊鉄道
99326,湘南モノレール
99327,上信電鉄
99328,上毛電気鉄道
99329,新京成電鉄線
99330,真岡鐵道
99331,千葉都市モノレール１号線
99332,千葉都市モノレール２号線
99333,流鉄流山線
99334,多摩モノレール
99335,銚子電鉄線
99336,東京モノレール
99337,東京臨海高速鉄道
99338,東葉高速鉄道
99339,箱根登山鉄道
99340,北総鉄道
99341,野岩鉄道会津鬼怒川線
99401,富士急行
99402,北越急行ほくほく線
99403,しなの鉄道
99404,上田電鉄別所線
99405,長野電鉄長野線
99406,長野電鉄屋代線
99407,松本電鉄上高地線
99408,富山地鉄本線
99409,富山地鉄立山線
99410,富山地鉄不二越・上滝線
99411,神岡鉄道(廃止)
99412,黒部峡谷鉄道
99413,富山地鉄市内線
99422,富山地鉄富山都心線
99414,万葉線
99415,富山ライトレール
99416,北陸鉄道石川線
99417,北陸鉄道浅野川線
99418,のと鉄道七尾線
99419,えちぜん鉄道勝山永平寺線
99420,えちぜん鉄道三国芦原線
99421,福井鉄道福武線
99501,伊豆急行
99502,伊豆箱根鉄道駿豆線
99503,岳南鉄道
99504,静岡鉄道静岡清水線
99505,天竜浜名湖鉄道
99506,遠州鉄道
99507,大井川鐵道大井川本線
99508,大井川鐵道井川線
99509,西名古屋港線(あおなみ線)
99510,東海交通事業城北線
99511,愛知環状鉄道
99512,東部丘陵線(リニモ)
99513,名古屋市営地下鉄東山線
99514,名古屋市営地下鉄名城線
99515,名古屋市営地下鉄名港線
99516,名古屋市営地下鉄鶴舞線
99517,名古屋市営地下鉄桜通線
99518,名古屋市営地下鉄上飯田線
99519,桃花台新交通(廃止)
99520,豊橋鉄道渥美線
99521,豊橋鉄道東田本線
99522,豊橋鉄道運動公園前線
99523,ゆとりーとライン
99524,明知鉄道
99525,長良川鉄道越美南線
99526,樽見鉄道
99528,三岐鉄道三岐線
99529,三岐鉄道北勢線
99530,伊勢鉄道
99531,伊賀鉄道伊賀線
99532,養老鉄道養老線
99601,近江鉄道本線
99602,近江鉄道多賀線
99603,近江鉄道八日市線
99604,信楽高原鐵道
99605,嵯峨野観光鉄道
99606,叡山電鉄叡山本線
99607,叡山電鉄鞍馬線
99608,北近畿タンゴ鉄道宮福線
99609,北近畿タンゴ鉄道宮津線
99610,京都市営地下鉄烏丸線
99611,京都市営地下鉄東西線
99612,京福電鉄嵐山本線
99613,京福電鉄北野線
99614,北大阪急行電鉄
99615,能勢電鉄妙見線
99616,泉北高速鉄道線
99617,水間鉄道
99618,大阪市営地下鉄御堂筋線
99619,大阪市営地下鉄谷町線
99620,大阪市営地下鉄四つ橋線
99621,大阪市営地下鉄中央線
99622,大阪市営地下鉄千日前線
99623,大阪市営地下鉄堺筋線
99624,大阪市営地下鉄長堀鶴見緑地線
99625,大阪市営地下鉄南港ポートタウン線
99626,大阪モノレール線
99627,大阪モノレール彩都線
99628,阪堺電軌上町線
99629,阪堺電軌阪堺線
99630,神戸高速東西線
99631,神戸高速南北線
99632,神鉄有馬線
99633,神鉄三田線
99634,神鉄公園都市線
99635,神鉄粟生線
99636,北神急行電鉄
99637,山陽電鉄本線
99638,山陽電鉄網干線
99640,能勢電鉄日生線
99642,三木鉄道(廃止)
99643,北条鉄道
99644,智頭急行
99645,神戸市営地下鉄西神線
99646,神戸市営地下鉄山手線
99647,神戸市営地下鉄海岸線(夢かもめ)
99648,神戸新交通ポートアイランド線
99649,神戸新交通六甲アイランド線
99650,紀州鉄道
99651,わかやま電鉄貴志川線
99652,大阪市営地下鉄今里筋線
99701,若桜鉄道
99702,一畑電車北松江線
99703,一畑電車大社線
99704,水島臨海鉄道
99705,井原鉄道
99706,岡山電軌東山本線
99707,岡山電軌清輝橋線
99708,スカイレールサービス
99709,アストラムライン
99710,広電１系統(宇品線)
99711,広電２系統(宮島線)
99712,広電３系統(己斐線)
99713,広電５系統(比治山線)
99714,広電６系統(江波線)
99715,広電７系統(都心線)
99716,広電８系統(横川線)
99717,広電９系統(白島線)
99718,錦川鉄道錦川清流線
99801,阿佐海岸鉄道阿佐東線
99802,琴電琴平線
99803,琴電長尾線
99804,琴電志度線
99805,伊予鉄道郡中線
99806,伊予鉄道高浜線
99807,伊予鉄道横河原線
99808,伊予鉄道１系統(環状線)
99809,伊予鉄道２系統(環状線)
99810,伊予鉄道３系統(市駅線)
99811,伊予鉄道５系統(松山駅前線)
99812,伊予鉄道６系統(本町線)
99814,土佐くろしお鉄道中村線
99815,土佐くろしお鉄道宿毛線
99816,土佐くろしお鉄道ごめん・なはり線
99817,土佐電鉄ごめん線
99818,土佐電鉄伊野線
99819,土佐電鉄桟橋線
99901,甘木鉄道
99902,平成筑豊鉄道伊田線
99903,平成筑豊鉄道糸田線
99904,平成筑豊鉄道田川線
99928,平成筑豊鉄道門司港レトロ観光線
99905,福岡市営地下鉄空港線
99906,福岡市営地下鉄箱崎線
99907,福岡市営地下鉄七隈線
99908,北九州高速鉄道
99909,筑豊電気鉄道
99910,松浦鉄道西九州線(有田～伊万里)
99911,松浦鉄道西九州線(伊万里～佐世保)
99912,島原鉄道
99913,長崎電軌１系統
99914,長崎電軌３系統
99915,長崎電軌４系統
99916,長崎電軌５系統
99917,熊本電鉄本線
99918,熊本電鉄上熊本線
99919,南阿蘇鉄道高森線
99920,くま川鉄道湯前線
99921,肥薩おれんじ鉄道
99922,熊本市電２系統
99923,熊本市電３系統
99925,鹿児島市電１系統
99926,鹿児島市電２系統
99927,ゆいレール
